Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;ActividadEmpresa;JornadaTrabajo;DondeEstudia;DirActividadCoordX;DirActividadCoordY;DirEstudiosCoordX;DirEstudiosCoordY;NoViaja;TarjetaBip;Tarjeta2Bip;MedioViajeRestricion;ConoceTransantiago;NoUsaTransantiago;Discapacidad;TieneIngresos;Ingreso;TramoIngreso;IngresoFinal;TramoIngresoFinal;IngresoImputado;Factor_LaboralNormal;Factor_SabadoNormal;Factor_DomingoNormal;Factor_LaboralEstival;Factor_FindesemanaEstival;Factor
100061;10006102;1943;1;2;2;1;2;2;7;4;A;5;5;1;;338815,7892;6267099,6034;;;;;;;2;G;J;1;99;2;307971;2;2;47,41349;;;;;48,92625
100061;10006103;1989;2;4;2;1;1;2;10;2;"A;B";5;2;2;7;338808,1166;6266109,2517;339002,3306;6265902,6570;;99;;;1;H;J;1;99;1;107082;1;2;80,98271;;;;;69,37724
100070;10007001;1959;1;1;9;3;2;2;10;3;A;1;5;1;;338672,2754;6267348,6479;;;;7764705;;11;1;H;J;1;99;2;231227;2;2;59,07187;;;;;42,67481
100082;10008201;1958;2;1;2;1;2;2;4;8;D;;;;;;;;;;99;;;1;H;J;1;99;7;79133;1;1;148,19080;;;;;61,77974
100090;10009001;1930;2;1;2;1;2;2;5;4;C;;;;;;;;;;99;;;1;H;J;1;99;3;404791;3;2;42,68843;;;;;50,22060
100090;10009002;1961;2;3;4;1;2;2;11;10;A;4;4;1;;338535,3809;6266234,3179;;;;99;;;1;H;J;1;99;3;515842;3;2;43,95546;;;;;65,44082
100090;10009003;1972;1;3;3;1;2;2;5;4;A;5;2;1;;345000,4094;6299259,6630;;;;7067014;;;1;H;J;1;99;2;339950;2;2;73,46943;;;;;81,56122
100090;10009004;1972;2;4;7;1;2;2;5;4;F;;;;;;;;;;8234705;;;1;G;J;2;0;0;0;0;0;100,95160;;;;;113,48672
100090;10009005;1992;2;4;2;2;2;2;5;4;A;5;1;1;;339320,6058;6265934,3036;;;;99;;;2;G;J;1;99;1;73911;1;2;60,83358;;;;;64,91418
100090;10009006;2004;1;4;3;1;2;2;4;3;B;;;;4;;;338641,4827;6266087,1384;;;;;2;G;J;2;0;0;0;0;0;77,93940;;;;;115,54420
100102;10010201;1947;1;1;2;3;2;2;6;6;C;;;;;;;;;;99;;;1;H;J;1;99;2;286926;2;2;79,90802;;;;;39,01129
100102;10010202;1984;2;3;2;1;2;2;11;4;A;5;2;1;;338748,8438;6265936,5404;;;;99;;;1;B;J;1;99;3;559188;3;2;319,80150;;;;;96,70987
100102;10010203;1981;1;3;2;1;2;2;5;4;A;5;5;1;;338830,0321;6257014,8574;;;;99;;;1;H;J;1;99;3;697760;3;2;233,64970;;;;;69,50395
100102;10010204;1949;2;2;0;1;2;2;6;1;D;;;;;;;;;3;;;;1;B;J;2;0;0;0;0;0;247,62300;;;;;63,49831
100112;10011201;1957;1;1;2;1;2;2;5;2;A;5;2;1;;337910,1842;6266172,7080;;;;99;;;1;G;J;1;99;2;278046;2;2;499,13300;;;;;86,39162
100112;10011202;1962;2;2;2;1;2;2;5;4;D;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;403,72460;;;;;91,44334
100112;10011203;1991;1;3;2;1;1;2;11;2;B;;;;8;;;345683,1400;6298010,2500;;99;;;;;J;2;0;0;0;0;0;294,76260;;;;;88,50018
100140;10014001;1950;2;1;2;1;2;1;11;5;C;;;;;;;;;;99;;;1;H;H;1;146000;1;146000;1;0;63,45761;;;;;65,24309
100140;10014002;1986;1;3;2;3;2;2;7;4;A;5;5;1;;350019,8500;6300388,1900;;;;99;;;;;J;1;99;2;316537;2;2;59,87674;;;;;71,41373
100140;10014003;1952;1;4;2;3;2;1;7;4;C;;;;;;;;;;;;;2;G;J;1;99;1;156998;1;2;154,23260;;;;;101,10927
100161;10016101;1956;2;1;2;1;2;2;5;4;D;;;;;;;;;;;;;2;G;J;1;99;7;92754;1;1;262,50720;;;;;70,34511
100170;10017001;1959;1;1;2;"2;3";2;2;10;2;A;5;2;1;;338327,6800;6264794,3284;;;;;;;2;G;J;1;600000;3;600000;3;0;;;;276,00000;;324,86377
100170;10017002;1956;2;2;2;1;2;2;9;5;A;2;5;1;;338672,0894;6266596,3552;;;;99;;2;1;H;J;1;600000;3;600000;3;0;;;;276,00000;;391,53424
100170;10017003;1988;2;3;0;1;2;2;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;276,00000;;341,09293
100170;10017004;1994;2;3;0;1;2;2;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;276,00000;;341,09293
100170;10017005;1979;1;4;0;1;2;2;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;276,00000;;428,56525
100180;10018001;1957;1;1;4;1;2;2;5;4;A;5;1;1;;338929,4760;6264897,4509;;;;99;;;1;G;J;1;280000;2;280000;2;0;120,76590;;;;;186,22495
100180;10018002;1961;2;2;4;1;2;2;4;8;D;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;97,68171;;;;;197,11444
100180;10018003;1991;1;3;2;1;1;2;11;4;B;;;;8;;;351354,5900;6290064,0500;;;;;1;H;J;2;0;0;0;0;0;83,45512;;;;;190,77016
100180;10018004;2001;1;3;2;1;2;2;4;5;B;;;;4;;;335724,1497;6266219,5699;;;;;2;G;J;2;0;0;0;0;0;173,20380;;;;;348,03107
100192;10019201;1939;2;1;2;1;2;2;4;5;C;;;;;;;;;;99;;;1;H;J;1;99;1;184068;1;2;82,27455;;;;;47,41101
100200;10020001;1969;1;1;3;2;2;2;5;4;A;5;5;1;;338938,1889;6266090,1475;;;;99;;;2;G;J;1;99;2;274156;2;2;44,28898;;;;;54,13350
100200;10020002;1982;2;2;7;2;2;2;7;7;F;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;82,27440;;;;;99,36721
100200;10020003;2001;2;5;4;1;1;2;4;4;B;;;;4;;;338283,8795;6266265,2282;;;;;2;G;J;2;0;0;0;0;0;63,51971;;;;;80,06564
100222;10022201;1977;1;1;2;1;2;2;4;8;A;5;1;1;;336695,8687;6265913,3202;;;;;;;2;G;J;1;193000;1;193000;1;0;35,04834;;;;;53,15984
100222;10022202;1968;2;2;2;1;2;2;4;8;A;5;1;1;;335390,7065;6266277,1710;;;;;;;2;G;J;1;193000;1;193000;1;0;27,89941;;;;;42,65289
100222;10022203;1996;2;3;2;1;2;2;5;3;B;;;;4;;;338734,4994;6267374,4340;;;;;2;G;J;2;0;0;0;0;0;28,81813;;;;;51,91961
100222;10022204;1991;1;3;2;1;2;2;5;4;A;5;1;1;;336695,8687;6265913,3202;;;;;;;2;G;J;1;1930;1;113597;1;0;27,89941;;;;;41,28007
100232;10023201;1975;1;1;2;1;2;2;5;4;F;;;;;;;;;;;;;1;G;J;1;120000;1;120000;1;0;36,08630;;;;;58,89182
100242;10024201;1958;2;1;2;1;2;2;5;4;D;;;;;;;;;;;;;2;G;J;2;0;0;0;0;0;34,93625;;;;;32,71663
100242;10024202;1986;2;3;2;1;2;2;5;4;F;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;72,96440;;;;;56,73683
100242;10024203;1958;1;2;4;1;2;2;7;4;A;5;5;1;;338734,6295;6267372,2177;;;;99;;;2;H;J;1;99;2;244851;2;2;39,27734;;;;;30,90923
100242;10024204;1988;1;3;2;1;2;2;5;4;F;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;34,93625;;;;;31,66362
100242;10024205;1989;2;3;4;1;2;2;5;4;A;5;2;1;;338834,0944;6266481,2868;;;;99;;;1;H;J;1;99;1;159085;1;2;43,96846;;;;;32,45334
100252;10025201;1949;1;1;2;"3;4";2;2;99;99;A;3;5;1;;338645,2243;6266222,3077;;;;14624641;;;2;G;J;1;600000;7;600000;3;0;58,18096;;;;;2,10486
100252;10025202;1950;2;2;0;"3;4";2;2;7;4;D;;;;;;;;;6;25256877;;;2;G;J;2;0;0;0;0;0;17,68669;;;;;2,10486
100262;10026201;1941;1;1;2;3;2;2;8;4;C;;;;;;;;;;;;1;2;G;J;1;99;4;1385167;4;2;;;;;8835,00000;44,50092
100262;10026202;1941;2;2;2;1;2;2;11;4;C;;;;;;;;;;;;;2;G;H;1;99;2;201640;2;2;;;;;8835,00000;48,81873
100270;10027001;1956;2;1;3;1;2;2;4;8;D;;;;;;;;;;;;2;2;G;J;1;100000;1;100000;1;0;;;;913,00000;;76,12838
100270;10027002;1982;1;3;2;"3;4";2;2;10;4;A;5;2;1;;337983,2439;6266171,0630;;;;;;2;2;G;J;1;99;1;82046;1;2;;;;913,00000;;83,32851
100270;10027003;1990;2;3;2;1;2;2;11;4;B;;;;8;;;344561,0800;6297637,3300;;;;;2;H;J;2;0;0;0;0;0;;;;913,00000;;66,32077
100281;10028101;1986;2;1;6;1;2;2;5;4;"A;B";5;5;2;6;337979,7575;6266174,4425;346663,5875;6297917,5999;;3532585;;;;;J;1;99;1;163929;1;2;213,17790;;;;;88,26551
100281;10028102;2005;1;3;2;1;2;2;4;1;B;;;;4;;;338506,9607;6268344,9765;;;;;2;G;J;2;0;0;0;0;0;164,58350;;;;;89,86573
100290;10029001;1945;1;1;6;3;2;2;4;6;A;2;2;1;;339217,1319;6266058,2402;;;;;;;1;G;H;1;200000;1;200000;1;0;;;478,88600;;;46,55182
100290;10029002;1948;2;2;8;1;2;2;10;7;A;2;5;2;;339333,9988;6266135,4126;;;;;;;2;G;J;1;99;2;268043;2;2;;;461,92190;;;75,77199
100302;10030201;1965;1;1;4;3;2;2;11;5;A;3;7;1;;338672,7200;6266273,6700;;;;5517756;;11;2;G;J;1;99;3;526495;3;2;;5480,00000;;;;38,63192
100302;10030202;1972;2;2;0;1;2;2;7;4;D;;;;;;;;;4;;;;2;G;F;2;0;0;0;0;0;;5412,00000;;;;70,91259
100302;10030203;1994;2;3;4;1;1;2;5;4;B;;;;8;;;343286,4000;6297209,0100;;70892418;;;1;H;J;2;0;0;0;0;0;;4213,00000;;;;40,56185
100302;10030204;1998;2;3;4;1;2;2;4;8;B;;;;4;;;342538,2123;6280112,5997;;;;;2;G;J;2;0;0;0;0;0;;4213,00000;;;;49,77485
100302;10030205;2010;2;3;4;1;2;2;1;0;;;;;;;;;;;;;;2;G;J;2;0;0;0;0;0;;5853,00000;;;;73,40633
100312;10031201;1961;1;1;2;5;2;2;4;8;A;5;1;1;;339180,2239;6262774,9691;;;;;;;2;G;J;1;99;2;207047;2;2;22,67666;;;;;33,01323
100312;10031202;1966;2;2;5;1;2;2;4;8;A;5;5;2;;339049,7423;6262562,4043;;;;;;;2;G;J;1;99;1;140868;1;2;22,67666;;;;;34,94366
100312;10031203;2006;2;3;2;1;2;2;2;2;B;;;;4;;;337856,5782;6264717,0141;;;;;2;G;J;2;0;0;0;0;0;22,67666;;;;;48,82792
100312;10031204;1988;1;3;2;1;1;2;11;4;"A;B";5;2;2;8;338808,1166;6266109,2517;346063,9943;6296440,9105;;;;;1;H;J;1;99;1;117026;1;2;22,67666;;;;;33,81897
100322;10032201;1947;2;1;2;1;2;2;5;4;A;2;2;1;;333732,5499;6261246,3794;;;;;;7;2;B;J;1;99;7;325317;2;1;328,17400;;;;;121,27241
100322;10032202;1945;1;2;2;3;2;2;5;4;A;2;2;1;;333732,5499;6261246,3794;;;;;;7;2;B;J;1;99;7;405535;3;1;350,63620;;;;;110,54639
100332;10033201;1963;1;1;2;3;2;2;5;4;A;5;2;1;;343994,2166;6296006,6147;;;;99;;;1;G;J;1;99;2;200825;2;2;;;;993,00000;;50,36469
100332;10033202;1975;2;2;4;"3;5";2;2;7;4;A;7;6;2;;357851,5948;6305759,3002;;;;99;;;;;J;1;99;1;147792;1;2;;;;993,00000;;92,44919
100332;10033203;1996;1;3;0;1;1;2;5;3;B;;;;4;;;;;4;;;;1;H;J;2;0;0;0;0;0;;;;993,00000;;64,89175
100332;10033204;2006;2;3;0;1;2;2;2;1;B;;;;3;;;;;4;;;;2;G;J;2;0;0;0;0;0;;;;993,00000;;74,49141
100342;10034201;1960;1;1;2;1;2;2;5;4;F;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;172,82340;;;;;52,68583
100342;10034202;1959;2;2;2;1;2;2;7;4;A;5;2;1;;338511,4779;6266107,6817;;;;99;;;2;G;J;1;99;2;228546;2;2;139,78840;;;;;55,76659
100342;10034203;1990;1;3;0;1;2;2;5;4;F;;;;;;;;;4;99;;;1;"A;B";J;2;0;0;0;0;0;102,06070;;;;;53,97172
100342;10034204;1986;1;3;0;1;2;2;7;4;G;;;;;;;;;5;;;;2;H;J;2;0;0;0;0;0;233,64970;;;;;69,50395
100350;10035001;1983;2;1;4;3;2;2;10;4;A;2;5;4;;338788,3062;6266701,2542;;;;99;;2;1;G;J;1;99;1;195529;1;2;;;;316,00000;;84,37682
100350;10035002;1983;1;3;2;3;1;2;10;4;B;;;;7;;;345564,8309;6297936,6132;;;;;2;G;J;2;0;0;0;0;0;;;;316,00000;;60,64038
100360;10036001;1944;2;1;0;1;2;2;5;4;C;;;;;;;;;4;;;;2;G;J;1;180000;1;180000;1;0;48,53735;;;;;31,99988
100360;10036002;1941;1;2;2;1;2;2;7;5;C;;;;;;;;;;;;;2;G;J;1;210000;2;210000;2;0;48,53735;;;;;29,16964
100370;10037001;1959;2;1;2;3;2;2;10;4;A;3;4;1;;339140,6539;6264176,1269;;;;;;;2;G;J;1;99;2;326915;2;2;;254,00000;;;;91,44334
100370;10037002;1987;2;3;3;3;1;2;11;4;B;;;;8;;;359839,0940;6306434,9553;;;;;;;J;2;0;0;0;0;0;;254,00000;;;;158,58012
100370;10037003;1981;1;5;3;1;2;2;11;4;"A;B";5;2;1;7;339180,8639;6266153,6903;338000,8672;6266077,2973;;;;;2;G;J;1;220000;2;220000;2;0;;239,00000;;;;113,96913
100372;10037201;1941;2;1;2;1;2;2;4;6;C;;;;;;;;;;99;;;1;H;J;1;99;1;136764;1;2;28,72566;;;;;36,26212
100382;10038201;1950;1;1;1;1;2;2;4;8;A;5;1;1;;339683,7554;6265909,6777;;;;;;;2;G;J;1;290000;2;290000;2;0;;;;;708,00000;73,11623
100382;10038202;1950;2;2;0;1;2;2;4;6;D;;;;;;;;;4;;;;2;G;J;1;60000;1;60000;1;0;;;;;708,00000;47,17996
100392;10039201;1964;2;1;2;1;2;2;4;8;A;7;5;1;;342514,6193;6280389,1276;;;;99;;;1;A;J;1;99;2;245231;2;2;34,93625;;;;;32,71663
100392;10039202;1972;1;2;2;1;2;2;7;4;A;2;2;1;;339091,1241;6266722,2194;;;;99;;;1;H;J;1;99;2;252309;2;2;53,10123;;;;;40,77592
100392;10039203;1995;2;3;0;1;2;2;5;4;D;;;;;;;;;4;;;;1;H;J;2;0;0;0;0;0;45,18855;;;;;39,82460
100392;10039204;1998;1;3;2;1;1;2;4;6;B;;;;4;;;338683,1812;6266351,0664;;;;;2;G;J;2;0;0;0;0;0;45,18855;;;;;39,82460
100392;10039205;2008;1;3;2;1;2;2;2;1;B;;;;3;;;338683,1812;6266351,0664;;;;;2;G;J;2;0;0;0;0;0;139,81910;;;;;58,73206
100402;10040201;1932;1;1;2;1;2;2;7;4;C;;;;;;;;;;;;;2;G;J;1;250000;2;250000;2;0;70,71759;;;;;46,77077
100402;10040202;1932;2;2;0;1;2;2;4;6;C;;;;;;;;;3;;;;2;G;J;1;99;1;111115;1;2;70,71759;;;;;51,30881
100402;10040203;1977;1;3;2;3;2;2;9;4;A;5;5;1;;339176,5596;6266150,6229;;;;99;;;1;H;J;1;99;3;708532;3;2;217,57400;;;;;83,32851
100413;10041301;1964;1;1;3;1;2;2;5;2;D;;;;;;;;;;99;;;1;H;J;1;99;7;102761;1;1;114,75540;;;;;48,08549
100413;10041302;1987;2;3;2;1;2;2;7;5;A;5;1;1;;338036,8515;6257131,9650;;;;99;;7;1;H;J;1;99;2;361607;2;2;213,17790;;;;;88,26551
100420;10042001;1950;1;1;6;3;2;2;4;5;A;5;2;1;;338672,7200;6266273,6700;;;;;;;2;G;J;1;200000;1;200000;1;0;;;;316,00000;;85,85607
100420;10042002;1951;2;2;2;1;2;2;6;2;D;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;;;;316,00000;;55,40063
100452;10045201;1956;2;1;2;1;2;2;4;3;D;;;;;;;;;;99;;;1;H;J;2;0;0;0;0;0;388,28720;;;;;48,70601
100452;10045202;1989;1;3;0;1;2;2;5;4;F;;;;;;;;;4;99;;;1;H;J;2;0;0;0;0;0;160,03710;;;;;41,39867
100452;10045203;1992;2;3;2;1;2;2;5;4;A;5;2;1;;338535,3809;6266234,3179;;;;99;;;1;H;J;1;99;2;294096;2;2;303,36410;;;;;42,43120
100452;10045204;2000;2;3;2;1;2;2;4;5;B;;;;4;;;335134,0255;6265903,5814;;;;;2;G;J;2;0;0;0;0;0;388,66710;;;;;59,77150
100452;10045205;1959;1;2;2;1;2;2;5;4;A;5;1;1;;341163,6102;6265780,9865;;;;99;;;1;H;J;1;99;2;360717;2;2;270,99730;;;;;40,41234
100461;10046101;1950;1;1;0;1;2;2;7;4;F;;;;;;;;;4;;;;2;"A;G";J;1;99;1;166717;1;2;;;;276,00000;;1,71881
100461;10046102;1955;2;2;2;1;2;2;5;1;D;;;;;;;;;;;;;2;"A;G";J;2;0;0;0;0;0;;;;276,00000;;1,71881
100461;10046103;1974;1;4;2;3;2;2;5;3;A;5;1;1;;344011,3642;6266291,6665;;;;;;4;2;G;J;1;99;1;168412;1;2;;;;276,00000;;1,71881
100461;10046104;1980;2;3;0;3;2;2;7;4;D;;;;;;;;;4;99;;;2;G;J;2;0;0;0;0;0;;;;276,00000;;1,71881
100461;10046105;2005;1;4;0;1;2;2;4;2;B;;;;4;;;344024,7741;6266452,3884;4;;;;2;G;J;2;0;0;0;0;0;;;;276,00000;;1,71881
100472;10047201;1968;2;1;2;3;2;2;5;4;A;5;5;1;;345404,0236;6287592,8026;;;;99;;2;1;H;J;1;99;4;802472;4;2;126,41400;;;;;39,86092
100472;10047202;1991;2;3;2;1;1;2;10;2;B;;;;6;;;350372,9700;6300725,5100;;99;;;;;J;2;0;0;0;0;0;174,95480;;;;;39,54014
100482;10048201;1966;2;1;4;1;2;2;4;4;A;5;1;1;;342002,4262;6270761,3222;;;;;;;2;G;J;1;99;1;148585;1;2;17,18234;;;;;1,71613
100482;10048202;1992;2;3;4;1;1;2;5;2;A;5;1;1;;342002,4262;6270761,3222;;;;;;;2;G;J;1;99;1;154938;1;2;17,18234;;;;;1,71613
100482;10048203;1990;1;4;2;1;2;2;5;2;A;5;1;1;;340043,7864;6265921,7017;;;;59678458;;;2;G;J;1;99;2;279346;2;2;17,18234;;;;;1,71613
100490;10049001;1971;2;1;2;1;2;2;5;2;A;5;1;1;;354008,2873;6277131,3414;;;;;;;2;G;J;1;99;1;78772;1;2;640,42090;;;;;66,54583
100490;10049002;1931;1;4;2;1;2;2;4;8;C;;;;;;;;;;;;11;2;G;J;1;99;1;127072;1;2;284,63250;;;;;46,55182
100501;10050101;1950;1;1;1;1;2;2;4;4;A;5;1;1;;257959,6919;6076393,1639;;;;;;;2;G;J;1;193000;1;193000;1;0;817,25230;;;;;1060,10437
100501;10050102;1960;2;2;4;1;2;2;4;3;D;;;;;;;;;;;;;2;G;F;2;0;0;0;0;0;796,83140;;;;;600,76471
100501;10050103;1982;1;4;4;1;2;2;4;8;A;5;1;1;;340043,7864;6265921,7017;;;;;;;2;G;J;1;193000;1;193000;1;0;817,25210;;;;;748,75513
100501;10050104;1984;1;3;4;1;2;2;5;4;D;;;;;;;;;;;;;2;G;J;2;0;0;0;0;0;817,25210;;;;;748,75513
100501;10050105;2002;2;4;2;1;2;2;4;5;B;;;;4;;;339368,9807;6266684,2985;;;;;2;G;J;2;0;0;0;0;0;817,09490;;;;;839,46777
100501;10050106;2005;1;4;2;1;2;2;4;1;B;;;;4;;;339368,9807;6266684,2985;;;;;2;G;J;2;0;0;0;0;0;817,09490;;;;;1060,72778
100501;10050107;2010;1;4;2;1;2;2;1;0;;;;;;;;;;;;;;2;G;J;2;0;0;0;0;0;817,25230;;;;;1078,47693
100510;10051001;1954;1;1;4;1;2;2;4;4;A;5;1;1;;339100,8953;6262924,3274;;;;;;;2;G;J;1;270000;2;270000;2;0;113,64490;;;;;47,29697
100510;10051002;1957;2;2;2;1;2;2;4;2;D;;;;;;;;;;99;;;2;G;J;2;0;0;0;0;0;28,39618;;;;;26,80334
100510;10051003;1981;1;3;2;1;2;2;5;2;A;5;1;1;;338955,8815;6261926,3295;;;;;;;2;G;J;1;240000;2;240000;2;0;35,67239;;;;;33,40598
100510;10051004;1985;1;3;2;1;2;2;5;3;A;5;5;1;;338774,6640;6258174,8720;;;;;;;2;G;J;1;99;2;343360;2;2;35,67239;;;;;33,40598
100510;10051005;1984;1;3;2;1;2;2;5;4;A;5;1;1;;337482,4333;6264736,3898;;;;;;11;2;G;J;1;99;1;179873;1;2;35,67239;;;;;33,40598
100522;10052201;1943;1;1;4;3;2;2;4;2;C;;;;;;;;;;;;;2;G;H;1;99;1;188991;1;2;;;495,19560;;;29,92337
100522;10052202;1940;2;2;2;1;2;2;6;4;"C;D";;;;;;;;;;;;;2;G;F;1;99;1;75298;1;2;;;477,65380;;;32,82674
100522;10052203;1975;2;3;2;1;2;2;5;4;"A;D";7;6;2;;338579,2721;6266505,4936;;;;;;;2;G;J;1;120000;1;120000;1;0;;;902,01940;;;74,18070
100522;10052204;1997;1;4;2;1;2;2;5;1;B;;;;4;;;351488,5874;6297761,6000;;;;;2;G;J;1;50000;1;50000;1;0;;;915,07040;;;52,06878
100522;10052205;2004;1;4;1;1;2;2;4;2;B;;;;4;;;339368,9807;6266684,2985;;;;;2;G;J;1;50000;1;50000;1;0;;;1064,63100;;;75,52558
100532;10053201;1943;1;1;2;1;2;2;7;4;C;;;;;;;;;;99;;;1;G;J;1;99;2;208538;2;2;82,27455;;;;;43,21771
100541;10054101;1958;1;1;6;2;2;2;4;8;A;5;5;1;;338640,2883;6268365,2840;;;;;;11;2;G;J;1;99;2;343831;2;2;55,72253;;;;;38,52120
100541;10054102;1959;2;2;2;1;2;2;4;7;D;;;;;;;;;;;;;2;G;J;1;30000;1;30000;1;0;45,07123;;;;;40,77373
100541;10054103;1998;1;4;0;1;2;2;4;8;B;;;;4;;;338064,7609;6266572,7728;5;;;;2;G;J;2;0;0;0;0;0;64,10870;;;;;49,63220
100541;10054104;1977;1;4;4;2;2;2;7;4;A;5;5;1;;338910,8184;6266861,7198;;;;;;;2;G;J;1;600000;3;600000;3;0;75,33434;;;;;50,81778
100562;10056201;1960;2;1;3;1;2;2;5;4;A;2;5;2;;344319,9324;6265447,0428;;;;;;;;;J;1;300000;2;300000;2;0;;;;1339,00000;;66,54583
100562;10056202;1993;1;3;2;1;1;2;11;1;B;;;;8;;;351468,0057;6295820,8281;;;;;1;H;J;2;0;0;0;0;0;;;;1339,00000;;64,40401
100571;10057101;1967;1;1;2;1;2;2;7;4;A;5;2;1;;338641,4827;6266087,1384;;;;99;;;1;H;J;1;99;2;242336;2;2;39,27734;;;;;30,90923
100571;10057102;1970;2;2;2;1;2;2;5;3;D;;;;;;;;;;99;;;1;G;J;1;99;1;187747;1;2;34,93625;;;;;32,71663
100571;10057103;1989;2;3;2;1;2;2;5;4;A;5;5;1;;339397,3973;6266135,0363;;;;99;;;1;H;J;1;99;2;317177;2;2;43,96846;;;;;32,45334
100571;10057104;2006;1;3;2;1;2;2;4;2;B;;;;4;;;0,0000;0,0000;;;;;2;G;J;2;0;0;0;0;0;56,33197;;;;;57,76545
100571;10057105;2005;2;4;2;1;2;2;4;2;B;;;;4;;;338810,3343;6266334,9095;;;;;2;G;J;2;0;0;0;0;0;56,33197;;;;;45,71601
100582;10058201;1947;2;1;2;1;2;2;1;0;D;;;;;;;;;;;;;2;H;J;1;99;1;136258;1;2;173,58050;;;;;31,79823
100582;10058202;1988;1;4;2;3;1;2;11;3;B;;;;8;;;345714,2895;6297666,4840;;99;;;1;"A;H";J;2;0;0;0;0;0;186,76760;;;;;40,10158
